DATE,IPG2211A2N
2015-01-01,120.2696
2015-01-02,116.3788
2015-01-03,104.4706
2015-01-04,89.7461
2015-01-05,91.093
2015-01-06,102.6495
2015-01-07,111.6354
2015-01-08,110.5925
2015-01-09,101.9204
2015-01-10,91.5959
2015-01-11,93.0628
2015-01-12,103.2203
2016-01-01,117.0837
2016-01-02,106.6688
2016-01-03,95.3548
2016-01-04,89.3254
2016-01-05,90.7369
2016-01-06,104.0375
2016-01-07,114.5397
2016-01-08,115.5159
2016-01-09,102.7637
2016-01-10,91.4867
2016-01-11,92.89
2016-01-12,112.7694
2017-01-01,114.8505
2017-01-02,99.4901
2017-01-03,101.0396
2017-01-04,88.353
2017-01-05,92.0805
2017-01-06,102.1532
2017-01-07,112.1538
2017-01-08,108.9312
2017-01-09,98.6154
2017-01-10,93.6137
2017-01-11,97.3359
2017-01-12,114.7212
2018-01-01,129.4048
